{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar
6956;0.000128263;4.36061E-05;8.81E-05;0.000114155;0.002048518;0.3842;0.78204878;0.477317387;0.002048518
6957;0.000130787;4.51615E-05;5.87E-05;0.000114155;0;0.3972;0.819268293;0.476343913;0
6958;0.00011971;4.35213E-05;3.76E-05;0.000114155;0;0.4049;0.850609756;0.475389526;0
6959;0.000113085;4.2747E-05;2.35E-05;0.000114155;0;0.4104;0.887804878;0.474435139;0
6960;0.000118137;4.25952E-05;9.40E-06;0.000114155;0;0.4142;0.908707317;0.473461665;0
6961;1.14E-04;4.21958E-05;5.87E-06;0.000114155;0;0.4296;0.928804878;0.472507278;0
6962;1.03E-04;4.14125E-05;2.35E-06;0.000114155;0;0.4292;0.938658537;0.471552892;0
6963;9.96E-05;3.89065E-05;1.17E-06;0.000114155;0;0.4383;0.94302439;0.470579417;0
6964;9.47E-05;3.76993E-05;1.41E-05;0.000114155;0;0.4618;0.936341463;0.469625031;0
6965;9.11E-05;3.79024E-05;3.76E-05;0.000114155;0;0.4874;0.92404878;0.468680188;0
6966;9.11E-05;4.04753E-05;9.40E-05;0.000114155;0;0.5503;0.906243902;0.46769717;0
6967;9.87E-05;4.39275E-05;0.0001821;0.000114155;0;0.5668;0.887073171;0.466752327;0
6968;1.14E-04;4.71565E-05;0.000158603;0.000114155;0;0.5256;0.863731707;0.46579794;0
6969;1.26E-04;4.8935E-05;0.000146855;0.000114155;0.002695418;0.5517;0.846682927;0.464814922;0.002695418
6970;1.28E-04;5.00485E-05;0.000164478;0.000114155;0.043881402;0.6407;0.855682927;0.463870079;0.043881402
6971;0.000130844;4.81473E-05;0.000187974;0.000114155;0.132830189;0.6589;0.860560976;0.462915693;0.132830189
6972;0.000131529;4.38226E-05;0.000206772;0.000114155;0.223665768;0.6445;0.861560976;0.461942218;0.223665768
6973;0.000133423;3.86365E-05;0.000187974;0.000114155;0.287385445;0.617;0.857073171;0.460987832;0.287385445
6974;0.000132915;3.44279E-05;0.000190324;0.000114155;0.322156334;0.5758;0.850341463;0.460033445;0.322156334
6975;1.28E-04;3.06031E-05;0.000213821;0.000114155;0.330188679;0.521;0.84904878;0.459059971;0.330188679
6976;1.24E-04;2.75325E-05;0.00022322;0.000114155;0.291212938;0.4403;0.844;0.458105584;0.291212938
6977;1.21E-04;2.82443E-05;0.00022322;0.000114155;0.219407008;0.3869;0.834121951;0.457151197;0.219407008
6978;1.16E-04;3.24351E-05;0.000164478;0.000114155;0.113477089;0.3991;0.838756098;0.456177723;0.113477089
6979;0.00011599;4.00379E-05;0.000117484;0.000114155;0.031752022;0.3989;0.84195122;0.455223336;0.031752022
6980;0.000125086;4.22248E-05;8.81E-05;0.000114155;0.000916442;0.3908;0.845756098;0.45426895;0.000916442
6981;0.000127079;4.47375E-05;5.87E-05;0.000114155;0;0.3823;0.843292683;0.453295475;0
6982;1.18E-04;4.40591E-05;3.76E-05;0.000114155;0;0.359;0.847195122;0.452341089;0
6983;1.11E-04;4.4251E-05;2.35E-05;0.000114155;0;0.3556;0.84904878;0.451396246;0
6984;1.17E-04;4.49584E-05;9.40E-06;0.000114155;0;0.3673;0.84297561;0.450413228;0
6985;1.14E-04;4.54471E-05;5.87E-06;0.000114155;0;0.3679;0.821707317;0.449535192;0
6986;1.01E-04;4.56011E-05;2.35E-06;0.000114155;0;0.3695;0.789097561;0.448762139;0
6987;9.74E-05;4.40033E-05;1.17E-06;0.000114155;0;0.3802;0.76104878;0.448008173;0
6988;9.10E-05;4.38203E-05;1.41E-05;0.000114155;0;0.3941;0.738682927;0.44723512;0
6989;8.63E-05;4.49339E-05;3.76E-05;0.000114155;0;0.3796;0.711463415;0.446481155;0
6990;8.39E-05;4.85668E-05;9.40E-05;0.000114155;5.39084E-05;0.3407;0.679;0.445727189;5.39084E-05
6991;8.60E-05;5.29495E-05;0.0001821;0.000114155;5.39084E-05;0.2886;0.646731707;0.444954136;5.39084E-05
6992;9.00E-05;5.681E-05;0.000158603;0.000114155;0;0.2424;0.601536585;0.444200171;0
6993;9.60E-05;5.8921E-05;0.000146855;0.000114155;0.001401617;0.2166;0.562634146;0.443427118;0.001401617
6994;1.02E-04;6.00971E-05;0.000164478;0.000114155;0.036819407;0.2246;0.518097561;0.442673152;0.036819407
6995;1.08E-04;5.76535E-05;0.000187974;0.000114155;0.114986523;0.2147;0.484243902;0.441900099;0.114986523
6996;1.11E-04;5.26282E-05;0.000206772;0.000114155;0.211320755;0.2046;0.443365854;0.441146134;0.211320755
6997;1.17E-04;4.6516E-05;0.000187974;0.000114155;0.270188679;0.1935;0.42597561;0.44037308;0.270188679
6998;1.20E-04;4.17361E-05;0.000190324;0.000114155;0.303504043;0.1632;0.402878049;0.439619115;0.303504043
6999;1.13E-04;3.71481E-05;0.000213821;0.000114155;0.290404313;0.1357;0.382243902;0.438846062;0.290404313
7000;1.08E-04;3.32162E-05;0.00022322;0.000114155;0.233261456;0.102;0.350707317;0.438092096;0.233261456
7001;1.04E-04;3.31805E-05;0.00022322;0.000114155;0.159137466;0.0856;0.307268293;0.437319043;0.159137466
7002;1.02E-04;3.63537E-05;0.000164478;0.000114155;0.101078167;0.0835;0.264560976;0.436565078;0.101078167
7003;1.02E-04;4.31487E-05;0.000117484;0.000114155;0.032614555;0.0864;0.228585366;0.435782481;0.032614555
7004;0.000111341;4.45277E-05;8.81E-05;0.000114155;0.000862534;0.0919;0.202756098;0.435038059;0.000862534
7005;0.000115912;4.64424E-05;5.87E-05;0.000114155;0;0.0976;0.180609756;0.434255462;0
7006;1.08E-04;4.52418E-05;3.76E-05;0.000114155;0;0.1034;0.176414634;0.43351104;0
7007;1.03E-04;4.48625E-05;2.35E-05;0.000114155;0;0.109;0.198097561;0.432757075;0
7008;1.11E-04;4.48937E-05;9.40E-06;0.000114155;0;0.1204;0.198682927;0.431974478;0
7009;1.09E-04;4.47598E-05;5.87E-06;0.000114155;0;0.1208;0.21;0.431230056;0
7010;9.83E-05;4.42778E-05;2.35E-06;0.000114155;0;0.1149;0.244487805;0.430447459;0
7011;9.50E-05;4.2265E-05;1.17E-06;0.000114155;0;0.1247;0.299756098;0.429703038;0
7012;8.83E-05;4.16558E-05;1.41E-05;0.000114155;0;0.1542;0.328219512;0.428920441;0
7013;8.27E-05;4.24591E-05;3.76E-05;0.000114155;0;0.1794;0.362121951;0.428176019;0
7014;8.06E-05;4.57595E-05;9.40E-05;0.000114155;0;0.1882;0.415609756;0.427393422;0
7015;8.12E-05;4.97272E-05;0.0001821;0.000114155;0;0.1969;0.433243902;0.426639457;0
7016;8.38218E-05;5.31637E-05;0.000158603;0.000114155;0;0.2056;0.464;0.425866404;0
